Title,Director,Cast,Country,Subgenre
Superman IV: The Quest for Peace,Sidney J. Furie,"Christopher Reeve, Gene Hackman, Jackie Cooper, Margot Kidder, Mariel Hemingway, Jon Cryer, Sam Wanamaker",United States,nan
The Veldt,Nozim To'laxo'jayev,"Yuriy Belyayev, Nelli Pshyonnaya, Giorgi Gegechkori",Soviet Union,nan
Wicked City,Yoshiaki Kawajiri,nan,Japan,nan
1988,1988,1988,1988,1988
Alien from L.A.,Albert Pyun,"Kathy Ireland, Thom Mathews, Don Michael Paul",United States,nan
Alien Nation,Graham Baker,"James Caan, Mandy Patinkin, Terence Stamp",United States,[nb 22]
Andy Colby's Incredible Adventure,Deborah Brock,"Randy Josselyn, Dianne Kay, Chuck Kovacic",United States,nan
As Time Goes By,Barry Peak,"Max Gillies, Bruno Lawrence, Nique Needles",Australia,Comedy
The Blob,Chuck Russell,"Kevin Dillon, Shawnee Smith, Donovan Leitch",United States,nan
The Brain,Edward Hunt,"Tom Bresnahan, Cynthia Preston, David Gale",Canada,Horror[54]
Critters 2: The Main Course,Mick Garris,"Scott Grimes, Liane Alexandra Curtis, Don Opper",United States,nan
Dead Heat,Mark Goldblatt,"Treat Williams, Joe Piscopo, Vincent Price",United States,Sci-fi horror[55]
Earth Girls Are Easy,Julien Temple,"Geena Davis, Jeff Goldblum, Julie Brown, Jim Carrey, Damon Wayans, Michael McKean",United StatesUnited Kingdom,nan
Gandahar,René Laloux,nan,France,Animated film
Hell Comes to Frogtown,"Donald G. Jackson, R. J. Kizer","Roddy Piper, Sandahl Bergman, Cec Verrell, William Smith, Rory Calhoun",United States,nan
Killer Klowns from Outer Space,Stephen Chiodo,"Grant Cramer, Suzanne Snyder, John Allen Nelson",United States,nan
The Lawless Land,Jon Hess,"Nick Corri, Leon Robinson, Xander Berkeley, Amanda Peterson",United States,[56][57]
Mac and Me,Stewart Ratfill,"Christine Ebersole, Tina Caspary, Jonathan Ward",United States,[58][nb 23]
Midnight Movie Massacre,"Mark Stock, Larry Jacobs","Robert Clarke, Anne Robinson, David Staffer, Tom Hutsler",United States,[59][60]
Miracle Mile,Steve De Jarnatt,"Anthony Edwards, Mare Winningham, John Agar",United States,nan
Mirai Ninja,Keita Amemiya,"Hanbei Kawai, Hiroki Ida, Eri Morishita",Japan,Action
Mobile Suit Gundam: Char's Counterattack,Yoshiyuki Tomino,nan,Japan,nan
Moonwalker,"Jerry Kramer, Colin Chilvers","Michael Jackson, Joe Pesci, Sean Lennon",United States,The Smooth Criminal segment is a noir/sci-fi film
My Stepmother Is an Alien,Richard Benjamin,"Kim Basinger, Dan Aykroyd, Alyson Hannigan, Jon Lovitz",United States,nan
The Nest,Terence H. Winkless,"Robert Lansing, Lisa Langlois",United States,nan
Not of This Earth,Jim Wynorski,"Traci Lords, Arthur Roberts",United States,nan
On the Silver Globe,Andrzej Zulawski,"Andrzej Seweryn, Grazyna Dylag, Jerzy Trela",Poland,Art film
The Pass,Vladimir Tarasov,"Aleksandr Kaydanovskiy (voice), Vasiliy Livanov (voice), Aleksandr Pashutin (voice)",Soviet Union,Animated short film
Pulse,Paul Golding,"Cliff DeYoung, Roxanne Hart, Joey Lawrence",United States,nan
Robowar,Bruno Mattei,"Reb Brown, Catherine Hickland, Massimo Vanni",Italy,nan
Short Circuit 2,Kenneth Johnson,"Fisher Stevens, Michael McKean, Cynthia Gibb",United States,nan
Space Mutiny,"David Winters, Neal Sundstrom","Reb Brown, Cameron Mitchell, Cisse Cameron",South Africa,Science fiction action[61]
They Live,John Carpenter,"Roddy Piper, Keith David, Meg Foster",United States,nan
Transformations,Jay Kamen,"Rex Smith, Lisa Langlois, Patrick Macnee",United States,[62]
Urusei Yatsura: The Final Chapter,Satoshi Dezaki,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,Fifth film in the Urusei Yatsura film series
Warlords,"Fred Olen Ray, Sid Haig","David Carradine, Dawn Wildsmith, Sid Haig",United States,[63]
World Gone Wild,Lee H. Katzin,"Bruce Dern, Michael Paré, Catherine Mary Stewart",United States,[66]
1989,1989,1989,1989,1989
Alienator,Fred Olen Ray,"Jan-Michael Vincent, John Phillip Law, Ross Hagen",United States,nan
Alien Seed,Bob James,Erik Estrada,United States,nan
Arena,Peter Manoogian,"Claudia Christian, Marc Alaimo",Italy,nan
The Abyss,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn",United States,[nb 24]
Back to the Future Part II,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",United States,nan
Bill & Ted's Excellent Adventure,Stephen Herek,"Keanu Reeves, Alex Winter, George Carlin",United States,nan
The Blood of Heroes,David Webb Peoples,"Rutger Hauer, Joan Chen, Delroy Lindo",AustraliaUnited States,[67][68]
Bunker Palace Hôtel,Enki Bilal,"Jean-Louis Trintignant, Carole Bouquet, Benoît Régent",France,[69]
Communion,Philippe Mora,"Christopher Walken, Lindsay Crouse, Frances Sternhagen",United States,nan
Cyborg,Albert Pyun,"Jean-Claude Van Damme, Deborah Richter",United States,nan
Deceit,Albert Pyun,"Sam Phillips, Norbert Weisser, Scott Paulin",United States,nan
DeepStar Six,Sean S. Cunningham,"Taurean Blacque, Nancy Everhard",United States,nan
The Evil Below,Wayne Crawford,"Wayne Crawford, June Chadwick, Paul Siebert",United States,nan
The Five Star Stories,Kazuo Yamazaki,nan,Japan,nan
Ghostbusters II,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Ernie Hudson, Rick Moranis, Annie Potts, Peter MacNicol",United States,nan
Gunhed,Masato Harada,"Masahiro Takashima, Brenda Bakke",Japan,nan
Hard to Be a God,Peter Fleischmann,"Edward Zentara, Aleksandr Filippenko, Hugues Quester, Anne Gautier",West GermanySoviet Union,nan
"Honey, I Shrunk the Kids",Joe Johnston,"Rick Moranis, Matt Frewer, Marcia Strassman",United States,nan
Jetsons: The Movie,"Joseph Barbera, William Hanna","George O'Hanlon (voice), Mel Blanc (voice), Penny Singleton (voice)",United States,Animated film
Journey to the center of the earth,Albert Pyun,Kathy Ireland,United States,nan
Leviathan,George Pan Cosmatos,"Peter Weller, Richard Crenna, Amanda Pays, Daniel Stern",ItalyUnited States,nan
Lords of the Deep,Mary Ann Fisher,"Bradford Dillman, Priscilla Barnes, Melody Ryane",United States,nan
Meet the Hollowheads,Thomas R. Burman,"John Glover, Richard Portnow, Juliette Lewis",United States,[70][71]
Millennium,Michael Anderson,"Kris Kristofferson, Cheryl Ladd, Daniel J. Travanti, Robert Joy",United States,nan
Moontrap,Robert Dyke,"Walter Koenig, Bruce Campbell, Leigh Lombardi",United States,nan
Mutant on the Bounty,Robert Torrance,"Kyle T. Heffner, Scott Williamson, John Durbin",United States,[72]
Patlabor: The Movie,Mamoru Oshii,nan,Japan,nan
The Return of Swamp Thing,Jim Wynorski,"Louis Jourdan, Heather Locklear, Sarah Douglas",United States,nan
Slipstream,Steven Lisberger,"Mark Hamill, Bob Peck, Bill Paxton, Ben Kingsley, F. Murray Abraham",United KingdomUnited States,nan
Spontaneous Combustion,Tobe Hooper,Brad Dourif,United States,nan
Star Trek V: The Final Frontier,William Shatner,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",United States,[nb 25]
The Terror Within,Thierry Notz,"George Kennedy, Andrew Stevens, Starr Andreeff",United States,nan
Tetsuo: The Iron Man,Shinya Tsukamoto,"Tomoroh Taguchi, Kei Fujiwara, Shinya Tsukamoto",Japan,nan
Venus Wars,Yoshikazu Yasuhiko,nan,Japan,nan
A Visitor to a Museum,Konstantin Lopushansky,"Viktor Mikhaylov, Vera Mayorova, Vadim Lobanov, Irina Rakshina",Soviet UnionSwitzerlandWest Germany,[73]
